schema_version,legacy_top_level_metric_mode,frame_index,reference_timestamp,elapsed_s,tcp_z_m,sensor_z_m,real_valid_zones,sim_valid_zones,real_mean_distance_mm,sim_mean_distance_mm,paired_valid_zones,mae_mm,bias_mm,no_return_iou,raw_real_valid_zones,raw_sim_valid_zones,raw_real_mean_distance_mm,raw_sim_mean_distance_mm,raw_paired_valid_zones,raw_mae_mm,raw_bias_mm,raw_no_return_iou,projected_real_valid_zones,projected_sim_valid_zones,projected_real_mean_distance_mm,projected_sim_mean_distance_mm,projected_paired_valid_zones,projected_mae_mm,projected_bias_mm,projected_no_return_iou
shape-replay-v2,raw,0,2026-06-28T15:41:44.273,0.0,0.18828359760845356,0.0982266358058603,60,64,90.95,91.28125,60,14.5,1.2333333333333334,0.0,60,64,90.95,91.28125,60,14.5,1.2333333333333334,0.0,60,64,90.95,85.5625,60,13.833333333333334,-4.466666666666667,0.0
shape-replay-v2,raw,1,2026-06-28T15:41:44.367,0.093994140625,0.1936923867182756,0.10363542491568234,61,64,96.01639344262296,91.28125,61,15.508196721311476,-4.0,0.0,61,64,96.01639344262296,91.28125,61,15.508196721311476,-4.0,0.0,61,64,96.01639344262296,85.5625,61,16.131147540983605,-9.704918032786885,0.0
shape-replay-v2,raw,2,2026-06-28T15:41:44.466,0.19300079345703125,0.20514108331116687,0.11508412150857361,63,64,109.58730158730158,102.859375,63,19.92063492063492,-6.4603174603174605,0.0,63,64,109.58730158730158,102.859375,63,19.92063492063492,-6.4603174603174605,0.0,63,64,109.58730158730158,96.609375,63,20.238095238095237,-12.714285714285714,0.0
shape-replay-v2,raw,3,2026-06-28T15:41:44.558,0.28499603271484375,0.2128155618885918,0.12275860008599854,64,62,119.3125,108.79032258064517,62,15.403225806451612,-11.951612903225806,0.0,64,62,119.3125,108.79032258064517,62,15.403225806451612,-11.951612903225806,0.0,64,62,119.3125,102.48387096774194,62,19.258064516129032,-18.258064516129032,0.0
shape-replay-v2,raw,4,2026-06-28T15:41:44.651,0.37799835205078125,0.2168430276810665,0.12678606587847324,64,64,122.140625,109.875,64,23.296875,-12.265625,1.0,64,64,122.140625,109.875,64,23.296875,-12.265625,1.0,64,64,122.140625,103.25,64,24.359375,-18.890625,1.0
shape-replay-v2,raw,5,2026-06-28T15:41:44.746,0.47299957275390625,0.21705178433052888,0.12699482252793562,63,63,122.76190476190476,110.65079365079364,62,16.548387096774192,-12.96774193548387,0.0,63,63,122.76190476190476,110.65079365079364,62,16.548387096774192,-12.96774193548387,0.0,63,63,122.76190476190476,104.2063492063492,62,20.56451612903226,-19.370967741935484,0.0
shape-replay-v2,raw,6,2026-06-28T15:41:44.859,0.58599853515625,0.2170331156159514,0.12697615381335814,64,62,122.953125,111.20967741935483,62,22.70967741935484,-11.774193548387096,0.0,64,62,122.953125,111.20967741935483,62,22.70967741935484,-11.774193548387096,0.0,64,62,122.953125,104.69354838709677,62,23.903225806451612,-18.29032258064516,0.0
shape-replay-v2,raw,7,2026-06-28T15:41:44.958,0.68499755859375,0.21707571389323227,0.127018752090639,63,64,122.11111111111111,109.765625,63,22.333333333333332,-12.015873015873016,0.0,63,64,122.11111111111111,109.765625,63,22.333333333333332,-12.015873015873016,0.0,63,64,122.11111111111111,103.171875,63,22.984126984126984,-18.603174603174605,0.0
shape-replay-v2,raw,8,2026-06-28T15:41:45.053,0.779998779296875,0.2170624886788156,0.12700552687622235,64,64,122.75,110.125,64,23.5625,-12.625,1.0,64,64,122.75,110.125,64,23.5625,-12.625,1.0,64,64,122.75,103.53125,64,24.5,-19.21875,1.0
shape-replay-v2,raw,9,2026-06-28T15:41:45.147,0.8740005493164062,0.21706057243961047,0.1270036106370172,64,64,122.875,110.359375,64,23.265625,-12.515625,1.0,64,64,122.875,110.359375,64,23.265625,-12.515625,1.0,64,64,122.875,103.640625,64,24.484375,-19.234375,1.0
shape-replay-v2,raw,10,2026-06-28T15:41:45.244,0.9710006713867188,0.21707897584788577,0.1270220140452925,64,63,122.9375,110.87301587301587,63,16.58730158730159,-13.031746031746032,0.0,64,63,122.9375,110.87301587301587,63,16.58730158730159,-13.031746031746032,0.0,64,63,122.9375,104.38095238095238,63,20.444444444444443,-19.523809523809526,0.0
shape-replay-v2,raw,11,2026-06-28T15:41:45.340,1.0669937133789062,0.21703760276798728,0.12698064096539402,64,64,123.3125,110.171875,64,24.078125,-13.140625,1.0,64,64,123.3125,110.171875,64,24.078125,-13.140625,1.0,64,64,123.3125,103.5,64,25.4375,-19.8125,1.0
shape-replay-v2,raw,12,2026-06-28T15:41:45.437,1.1639938354492188,0.21703951900687987,0.1269825572042866,64,62,123.484375,111.54838709677419,62,16.5,-13.241935483870968,0.0,64,62,123.484375,111.54838709677419,62,16.5,-13.241935483870968,0.0,64,62,123.484375,105.08064516129032,62,20.741935483870968,-19.70967741935484,0.0
shape-replay-v2,raw,13,2026-06-28T15:41:45.536,1.26300048828125,0.21704917409766783,0.12699221229507457,64,63,122.4375,110.38095238095238,63,16.38095238095238,-12.984126984126984,0.0,64,63,122.4375,110.38095238095238,63,16.38095238095238,-12.984126984126984,0.0,64,63,122.4375,103.92063492063492,63,20.49206349206349,-19.444444444444443,0.0
shape-replay-v2,raw,14,2026-06-28T15:41:45.657,1.3839950561523438,0.2170552632256424,0.12699830142304913,64,63,123.359375,109.96825396825396,63,23.349206349206348,-13.19047619047619,0.0,64,63,123.359375,109.96825396825396,63,23.349206349206348,-13.19047619047619,0.0,64,63,123.359375,103.31746031746032,63,24.6984126984127,-19.841269841269842,0.0
shape-replay-v2,raw,15,2026-06-28T15:41:45.731,1.4580001831054688,0.21704804341610628,0.12699108161351302,64,64,122.765625,110.09375,64,23.390625,-12.671875,1.0,64,64,122.765625,110.09375,64,23.390625,-12.671875,1.0,64,64,122.765625,103.4375,64,24.828125,-19.328125,1.0
shape-replay-v2,raw,16,2026-06-28T15:41:45.832,1.5589981079101562,0.2170682704693691,0.12701130866677585,63,63,122.5079365079365,110.88888888888889,62,22.403225806451612,-11.53225806451613,0.0,63,63,122.5079365079365,110.88888888888889,62,22.403225806451612,-11.53225806451613,0.0,63,63,122.5079365079365,104.3015873015873,62,23.35483870967742,-18.096774193548388,0.0
shape-replay-v2,raw,17,2026-06-28T15:41:45.940,1.6669998168945312,0.21705065278395563,0.12699369098136237,64,63,124.15625,110.88888888888889,63,23.158730158730158,-13.507936507936508,0.0,64,63,124.15625,110.88888888888889,63,23.158730158730158,-13.507936507936508,0.0,64,63,124.15625,104.3015873015873,63,24.571428571428573,-20.095238095238095,0.0
shape-replay-v2,raw,18,2026-06-28T15:41:46.035,1.7620010375976562,0.21706479074025897,0.1270078289376657,64,64,123.734375,109.96875,64,23.671875,-13.765625,1.0,64,64,123.734375,109.96875,64,23.671875,-13.765625,1.0,64,64,123.734375,103.28125,64,25.078125,-20.453125,1.0
shape-replay-v2,raw,19,2026-06-28T15:41:46.131,1.8579940795898438,0.21706461903577462,0.12700765723318136,64,63,123.015625,110.46031746031746,63,16.46031746031746,-13.53968253968254,0.0,64,63,123.015625,110.46031746031746,63,16.46031746031746,-13.53968253968254,0.0,64,63,123.015625,103.88888888888889,63,21.063492063492063,-20.11111111111111,0.0
shape-replay-v2,raw,20,2026-06-28T15:41:46.228,1.9549942016601562,0.21706549175201253,0.12700852994941927,63,62,122.38095238095238,110.59677419354838,61,20.868852459016395,-10.901639344262295,0.0,63,62,122.38095238095238,110.59677419354838,61,20.868852459016395,-10.901639344262295,0.0,63,62,122.38095238095238,104.06451612903226,61,22.18032786885246,-17.42622950819672,0.0
shape-replay-v2,raw,21,2026-06-28T15:41:46.323,2.0499954223632812,0.22011577119600195,0.1300588093934087,64,63,126.703125,112.12698412698413,63,23.746031746031747,-14.380952380952381,0.0,64,63,126.703125,112.12698412698413,63,23.746031746031747,-14.380952380952381,0.0,64,63,126.703125,105.53968253968254,63,25.41269841269841,-20.96825396825397,0.0
shape-replay-v2,raw,22,2026-06-28T15:41:46.421,2.1479949951171875,0.2277141006993777,0.13765713889678444,37,61,126.67567567567568,118.50819672131148,37,21.35135135135135,-4.8108108108108105,0.1111111111111111,37,61,126.67567567567568,118.50819672131148,37,21.35135135135135,-4.8108108108108105,0.1111111111111111,37,61,126.67567567567568,111.44262295081967,37,21.08108108108108,-11.72972972972973,0.1111111111111111
shape-replay-v2,raw,23,2026-06-28T15:41:46.518,2.2449951171875,0.2384995254583285,0.14844256365573524,17,62,137.8235294117647,127.3225806451613,17,17.529411764705884,-8.352941176470589,0.0425531914893617,17,62,137.8235294117647,127.3225806451613,17,17.529411764705884,-8.352941176470589,0.0425531914893617,17,62,137.8235294117647,119.35483870967742,17,21.176470588235293,-16.941176470588236,0.0425531914893617
shape-replay-v2,raw,24,2026-06-28T15:41:46.616,2.3429946899414062,0.24554148177343396,0.1554845199708407,18,64,148.55555555555554,134.546875,18,21.333333333333332,-18.333333333333332,0.0,18,64,148.55555555555554,134.546875,18,21.333333333333332,-18.333333333333332,0.0,18,64,148.55555555555554,126.15625,18,28.555555555555557,-27.444444444444443,0.0
shape-replay-v2,raw,25,2026-06-28T15:41:46.714,2.4409942626953125,0.2470614389477377,0.15700447714514443,19,62,151.52631578947367,136.8709677419355,19,22.210526315789473,-19.68421052631579,0.044444444444444446,19,62,151.52631578947367,136.8709677419355,19,22.210526315789473,-19.68421052631579,0.044444444444444446,19,62,151.52631578947367,128.24193548387098,19,28.789473684210527,-28.473684210526315,0.044444444444444446
shape-replay-v2,raw,26,2026-06-28T15:41:46.852,2.5789947509765625,0.2470253342602789,0.15696837245768563,18,63,151.66666666666666,137.14285714285714,18,21.944444444444443,-20.055555555555557,0.021739130434782608,18,63,151.66666666666666,137.14285714285714,18,21.944444444444443,-20.055555555555557,0.021739130434782608,18,63,151.66666666666666,128.63492063492063,18,29.444444444444443,-29.11111111111111,0.021739130434782608
shape-replay-v2,raw,27,2026-06-28T15:41:46.946,2.6729965209960938,0.24700984518340627,0.156952883380813,18,61,150.72222222222223,137.13114754098362,18,21.38888888888889,-19.61111111111111,0.06521739130434782,18,61,150.72222222222223,137.13114754098362,18,21.38888888888889,-19.61111111111111,0.06521739130434782,18,61,150.72222222222223,128.52459016393442,18,28.666666666666668,-28.666666666666668,0.06521739130434782
shape-replay-v2,raw,28,2026-06-28T15:41:47.039,2.7659988403320312,0.24702959228009685,0.1569726304775036,18,62,150.77777777777777,137.1451612903226,18,22.38888888888889,-20.833333333333332,0.043478260869565216,18,62,150.77777777777777,137.1451612903226,18,22.38888888888889,-20.833333333333332,0.043478260869565216,18,62,150.77777777777777,128.5483870967742,18,29.77777777777778,-29.77777777777778,0.043478260869565216
shape-replay-v2,raw,29,2026-06-28T15:41:47.138,2.8649978637695312,0.2470395955806509,0.15698263377805763,19,61,151.47368421052633,137.2295081967213,19,19.68421052631579,-18.63157894736842,0.06666666666666667,19,61,151.47368421052633,137.2295081967213,19,19.68421052631579,-18.63157894736842,0.06666666666666667,19,61,151.47368421052633,128.55737704918033,19,27.57894736842105,-27.57894736842105,0.06666666666666667
