timestamp_s,trajectory_phase,contact_flag,contact_area_m2,normal_force_n,tangential_force_x_n,tangential_force_y_n,tangential_force_z_n,slip_velocity_x_m_s,slip_velocity_y_m_s,slip_velocity_z_m_s,maximum_displacement_m,minimum_relative_tet_volume,inverted_tet_count
0.0,approach,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999972261092551,0
0.016666666666666666,approach,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025056514075830953,0.9344589265076659,0
0.03333333333333333,approach,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021958073605342438,0.9424443611645305,0
0.05,approach,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018249811157133218,0.9491400638134124,0
0.06666666666666667,approach,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019145590977523945,0.9474672328012268,0
0.08333333333333333,approach,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020085282555163512,0.9459304847815669,0
0.09999999999999999,approach,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002032716307427757,0.9453901023521412,0
0.11666666666666665,approach,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019442717832118868,0.9470507456907059,0
0.13333333333333333,approach,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019232382462137086,0.947258185832864,0
0.15,approach,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020033978149395866,0.9459270389456628,0
0.16666666666666666,approach,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002005822074098095,0.9460105733514553,0
0.18333333333333332,approach,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019411626716931633,0.9469575709078973,0
0.19999999999999998,approach,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019536102751769924,0.9467634776862962,0
0.21666666666666665,approach,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019979255901286187,0.9460971782011253,0
0.2333333333333333,approach,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019802595132506593,0.9463330415686386,0
0.24999999999999997,approach,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019526095748157503,0.946793388476097,0
0.26666666666666666,press,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019683316252876577,0.9465487158376269,0
0.2833333333333333,press,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001986130032534256,0.9462475846484445,0
0.3,press,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001972662150118441,0.9464729887948428,0
0.31666666666666665,press,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019611336811671513,0.9466585700372083,0
0.3333333333333333,press,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019725562476941827,0.9464675174940569,0
0.35,press,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019797938886221409,0.9463587315960079,0
0.36666666666666664,press,1,8.71250676506774e-06,0.0004697411435530486,1.1150683143661626e-06,-6.03192913065938e-05,0.0,4.6705471860277135e-06,-0.00025265187132085065,3.2454022845913866e-05,0.00019699737415073432,0.9465129253642499,0
0.3833333333333333,press,1,8.720173162565077e-06,0.002524338305274184,-2.112345922048568e-05,-0.0003026235111688023,0.0,-1.638142273170255e-05,-0.00023578243162994722,3.372283827999297e-05,0.0001965444317123726,0.9464689749556076,0
0.39999999999999997,press,1,8.72852701905227e-06,0.006413277262929604,-0.00021659328188411675,-0.0005141676877656989,0.0,-6.612785631471822e-05,-0.0001575141719038955,3.8561883735509324e-05,0.0001965525568738182,0.9463404545765742,0
0.41666666666666663,press,1,8.736980201593751e-06,0.011591443796165068,-0.00021741282325332488,-0.0006553016781515374,0.0,-3.67925741950585e-05,-0.00011104625719025441,4.181993442048136e-05,0.00021760577052383294,0.9460581824166768,0
0.4333333333333333,press,1,8.746140034303901e-06,0.01717961169826293,-0.00020874228242496508,-0.0007917788045043035,0.0,-2.3903815235184262e-05,-9.053811917467637e-05,4.334325904889702e-05,0.0002433172217556833,0.9456392315042573,0
