frame_index,reference_timestamp,elapsed_s,tcp_z_m,sensor_z_m,real_valid_zones,sim_valid_zones,real_mean_distance_mm,sim_mean_distance_mm,paired_valid_zones,mae_mm,bias_mm,no_return_iou
36,2026-06-28T15:43:07.383,3.5320053100585938,0.42707096520698606,0.3369393532814082,64,64,336.03125,360.921875,64,25.609375,24.890625,1.0
37,2026-06-28T15:43:07.483,3.6320037841796875,0.4270820588459757,0.3369504469203979,64,64,336.28125,360.171875,64,24.015625,23.890625,1.0
38,2026-06-28T15:43:07.580,3.72900390625,0.42710837261683166,0.3369767606912538,64,64,336.046875,359.765625,64,24.3125,23.71875,1.0
39,2026-06-28T15:43:07.678,3.8270034790039062,0.4270934811448761,0.33696186921929827,64,64,335.71875,359.6875,64,24.1875,23.96875,1.0
40,2026-06-28T15:43:07.777,3.9260025024414062,0.4270993294113212,0.3369677174857434,64,64,335.671875,361.40625,64,26.328125,25.734375,1.0
41,2026-06-28T15:43:07.875,4.0240020751953125,0.42564152382298387,0.33550991189740603,64,64,334.984375,358.40625,64,24.109375,23.421875,1.0
42,2026-06-28T15:43:07.973,4.122001647949219,0.41882973997681844,0.3286981280512406,64,64,327.84375,351.359375,64,24.640625,23.515625,1.0
43,2026-06-28T15:43:08.115,4.263999938964844,0.4041739056160387,0.3140422936904609,64,64,317.1875,337.34375,64,21.28125,20.15625,1.0
44,2026-06-28T15:43:08.225,4.374000549316406,0.39790495324945657,0.30777334132387874,64,64,309.6875,328.40625,64,19.84375,18.71875,1.0
45,2026-06-28T15:43:08.313,4.462005615234375,0.3970256506693942,0.3068940387438164,64,64,306.84375,327.6875,64,21.5,20.84375,1.0
46,2026-06-28T15:43:08.396,4.545005798339844,0.39708557072426104,0.3069539587986832,64,64,306.5,327.65625,64,22.21875,21.15625,1.0
47,2026-06-28T15:43:08.502,4.6510009765625,0.3970298717575279,0.30689825983195007,64,64,307.34375,328.234375,64,21.484375,20.890625,1.0
48,2026-06-28T15:43:08.591,4.7400054931640625,0.3970633209934087,0.30693170906783085,64,64,306.765625,328.28125,64,22.671875,21.515625,1.0
