frame_index,reference_timestamp,elapsed_s,tcp_z_m,sensor_z_m,real_valid_zones,sim_valid_zones,real_mean_distance_mm,sim_mean_distance_mm,paired_valid_zones,mae_mm,bias_mm,no_return_iou
0,2026-06-28T15:44:02.678,0.0,0.1890844187311504,0.09895280680557254,62,64,96.0,105.953125,62,9.887096774193548,9.887096774193548,0.0
1,2026-06-28T15:44:02.769,0.09099578857421875,0.19526500382899503,0.10513339190341718,62,64,103.80645161290323,112.359375,62,8.403225806451612,8.403225806451612,0.0
2,2026-06-28T15:44:02.878,0.1999969482421875,0.20786680174237704,0.11773518981679919,62,64,115.5,125.609375,62,10.129032258064516,10.0,0.0
3,2026-06-28T15:44:02.965,0.28699493408203125,0.21429730792603968,0.12416569600046183,62,64,123.35483870967742,132.875,62,9.629032258064516,9.5,0.0
4,2026-06-28T15:44:03.062,0.38399505615234375,0.21724458213774542,0.12711297021216755,62,64,126.06451612903226,136.109375,62,9.935483870967742,9.870967741935484,0.0
5,2026-06-28T15:44:03.164,0.48600006103515625,0.21717822334883208,0.12704661142325424,62,64,126.12903225806451,136.09375,62,10.064516129032258,9.838709677419354,0.0
6,2026-06-28T15:44:03.260,0.582000732421875,0.21716408374547835,0.12703247181990052,62,64,125.75806451612904,135.890625,62,10.048387096774194,10.016129032258064,0.0
7,2026-06-28T15:44:03.360,0.6819992065429688,0.21717248122089175,0.12704086929531389,62,64,126.11290322580645,136.171875,62,10.03225806451613,10.0,0.0
8,2026-06-28T15:44:03.459,0.7809982299804688,0.21716064953519765,0.1270290376096198,62,64,125.98387096774194,136.171875,62,10.129032258064516,10.129032258064516,0.0
9,2026-06-28T15:44:03.555,0.8769989013671875,0.21714877168307878,0.12701715975750094,62,64,126.01612903225806,135.390625,62,9.435483870967742,9.306451612903226,0.0
10,2026-06-28T15:44:03.653,0.9749984741210938,0.21718014240226907,0.12704853047669123,62,64,125.90322580645162,135.28125,62,9.338709677419354,9.17741935483871,0.0
11,2026-06-28T15:44:03.752,1.0739974975585938,0.2171724831903321,0.12704087126475427,62,64,126.0,135.875,62,9.935483870967742,9.806451612903226,0.0
12,2026-06-28T15:44:03.850,1.1719970703125,0.2171675195859869,0.12703590766040906,62,64,126.01612903225806,135.921875,62,10.0,9.806451612903226,0.0
13,2026-06-28T15:44:03.948,1.2699966430664062,0.21717709247887226,0.1270454805532944,62,64,126.20967741935483,135.78125,62,9.516129032258064,9.419354838709678,0.0
14,2026-06-28T15:44:04.047,1.3689956665039062,0.21715220746735417,0.1270205955417763,62,64,125.90322580645162,135.625,62,9.806451612903226,9.612903225806452,0.0
15,2026-06-28T15:44:04.145,1.4669952392578125,0.21716943306651126,0.12703782114093343,62,64,126.01612903225806,135.46875,62,9.435483870967742,9.306451612903226,0.0
16,2026-06-28T15:44:04.285,1.6070022583007812,0.21717939474874615,0.1270477828231683,62,64,125.83870967741936,135.890625,62,9.935483870967742,9.935483870967742,0.0
17,2026-06-28T15:44:04.380,1.701995849609375,0.21716634447884592,0.12703473255326808,62,64,125.88709677419355,135.96875,62,10.209677419354838,9.919354838709678,0.0
18,2026-06-28T15:44:04.470,1.7919998168945312,0.21719806406549963,0.1270664521399218,62,64,125.95161290322581,136.453125,62,10.596774193548388,10.370967741935484,0.0
19,2026-06-28T15:44:04.560,1.8819961547851562,0.21715868599660107,0.1270270740710232,62,64,126.11290322580645,135.703125,62,9.612903225806452,9.580645161290322,0.0
20,2026-06-28T15:44:04.658,1.9799957275390625,0.21786897578718858,0.12773736386161072,62,64,126.19354838709677,137.109375,62,10.96774193548387,10.96774193548387,0.0
21,2026-06-28T15:44:04.752,2.0739974975585938,0.22280831460733413,0.1326767026817563,62,64,131.48387096774192,141.734375,62,10.387096774193548,10.161290322580646,0.0
22,2026-06-28T15:44:04.843,2.1650009155273438,0.23236560482405938,0.14223399289848154,61,64,141.21311475409837,151.84375,61,10.885245901639344,10.524590163934427,0.0
23,2026-06-28T15:44:04.947,2.2689971923828125,0.24230965545123762,0.15217804352565978,62,64,151.91935483870967,162.671875,62,10.806451612903226,10.741935483870968,0.0
24,2026-06-28T15:44:05.084,2.4059982299804688,0.24719808560996703,0.1570664736843892,62,64,157.2741935483871,167.6875,62,10.725806451612904,10.435483870967742,0.0
25,2026-06-28T15:44:05.167,2.4889984130859375,0.2471106866636592,0.15697907473808137,62,64,158.01612903225808,168.109375,62,10.596774193548388,10.209677419354838,0.0
26,2026-06-28T15:44:05.264,2.58599853515625,0.24710616376020872,0.15697455183463088,62,64,157.80645161290323,167.859375,62,10.451612903225806,10.096774193548388,0.0
27,2026-06-28T15:44:05.363,2.68499755859375,0.24714274857463522,0.15701113664905736,62,64,157.7741935483871,168.078125,62,10.53225806451613,10.274193548387096,0.0
28,2026-06-28T15:44:05.455,2.7770004272460938,0.24712373676967161,0.15699212484409375,62,64,157.75806451612902,167.734375,62,10.46774193548387,10.112903225806452,0.0
29,2026-06-28T15:44:05.552,2.8740005493164062,0.2471094686638873,0.15697785673830944,62,64,157.6451612903226,167.78125,62,10.85483870967742,10.241935483870968,0.0
