,z
2026-06-28T15:43:03.700,0.4870890835287951
2026-06-28T15:43:03.701,0.4870890835287951
2026-06-28T15:43:03.702,0.4870890835287951
2026-06-28T15:43:03.703,0.4870890835287951
2026-06-28T15:43:03.704,0.4870890835287951
2026-06-28T15:43:03.705,0.4870890835287951
2026-06-28T15:43:03.706,0.4870890835287951
2026-06-28T15:43:03.707,0.4870890835287951
2026-06-28T15:43:03.708,0.4870908155314041
2026-06-28T15:43:03.709,0.4870908155314041
2026-06-28T15:43:03.710,0.4870908155314041
2026-06-28T15:43:03.711,0.4870908155314041
2026-06-28T15:43:03.712,0.4870908155314041
2026-06-28T15:43:03.713,0.4870908155314041
2026-06-28T15:43:03.714,0.4870908155314041
2026-06-28T15:43:03.715,0.4870908155314041
2026-06-28T15:43:03.716,0.4870118711737706
2026-06-28T15:43:03.717,0.4870118711737706
2026-06-28T15:43:03.718,0.4870118711737706
2026-06-28T15:43:03.719,0.4870118711737706
2026-06-28T15:43:03.720,0.4870118711737706
2026-06-28T15:43:03.721,0.4870118711737706
2026-06-28T15:43:03.722,0.4870118711737706
2026-06-28T15:43:03.723,0.4870118711737706
2026-06-28T15:43:03.724,0.48695280397539326
2026-06-28T15:43:03.725,0.48695280397539326
2026-06-28T15:43:03.726,0.48695280397539326
2026-06-28T15:43:03.727,0.48695280397539326
2026-06-28T15:43:03.728,0.48695280397539326
2026-06-28T15:43:03.729,0.48695280397539326
2026-06-28T15:43:03.730,0.48695280397539326
2026-06-28T15:43:03.731,0.48695280397539326
2026-06-28T15:43:03.732,0.48695280397539326
2026-06-28T15:43:03.733,0.4868253612086955
2026-06-28T15:43:03.734,0.4868253612086955
2026-06-28T15:43:03.735,0.4868253612086955
2026-06-28T15:43:03.736,0.4868253612086955
2026-06-28T15:43:03.737,0.4868253612086955
2026-06-28T15:43:03.738,0.4868253612086955
2026-06-28T15:43:03.739,0.4868253612086955
2026-06-28T15:43:03.740,0.4866416954882209
2026-06-28T15:43:03.741,0.4866416954882209
2026-06-28T15:43:03.742,0.4866416954882209
2026-06-28T15:43:03.743,0.4866416954882209
2026-06-28T15:43:03.744,0.4866416954882209
2026-06-28T15:43:03.745,0.4866416954882209
2026-06-28T15:43:03.746,0.4866416954882209
2026-06-28T15:43:03.747,0.4866416954882209
2026-06-28T15:43:03.748,0.4864596468159105
2026-06-28T15:43:03.749,0.4864596468159105
2026-06-28T15:43:03.750,0.4864596468159105
2026-06-28T15:43:03.751,0.4864596468159105
2026-06-28T15:43:03.752,0.4864596468159105
2026-06-28T15:43:03.753,0.4864596468159105
2026-06-28T15:43:03.754,0.4864596468159105
2026-06-28T15:43:03.755,0.4864596468159105
2026-06-28T15:43:03.756,0.48622254209892013
2026-06-28T15:43:03.757,0.48622254209892013
2026-06-28T15:43:03.758,0.48622254209892013
2026-06-28T15:43:03.759,0.48622254209892013
2026-06-28T15:43:03.760,0.48622254209892013
2026-06-28T15:43:03.761,0.48622254209892013
2026-06-28T15:43:03.762,0.48622254209892013
2026-06-28T15:43:03.763,0.48622254209892013
2026-06-28T15:43:03.764,0.48595384017010296
2026-06-28T15:43:03.765,0.48595384017010296
2026-06-28T15:43:03.766,0.48595384017010296
2026-06-28T15:43:03.767,0.48595384017010296
2026-06-28T15:43:03.768,0.48595384017010296
2026-06-28T15:43:03.769,0.48595384017010296
2026-06-28T15:43:03.770,0.48595384017010296
2026-06-28T15:43:03.771,0.48595384017010296
2026-06-28T15:43:03.772,0.48562796276100667
2026-06-28T15:43:03.773,0.48562796276100667
2026-06-28T15:43:03.774,0.48562796276100667
2026-06-28T15:43:03.775,0.48562796276100667
2026-06-28T15:43:03.776,0.48562796276100667
2026-06-28T15:43:03.777,0.48562796276100667
2026-06-28T15:43:03.778,0.48562796276100667
2026-06-28T15:43:03.779,0.48562796276100667
2026-06-28T15:43:03.780,0.48531307128216405
2026-06-28T15:43:03.781,0.48531307128216405
2026-06-28T15:43:03.782,0.48531307128216405
2026-06-28T15:43:03.783,0.48531307128216405
2026-06-28T15:43:03.784,0.48531307128216405
2026-06-28T15:43:03.785,0.48531307128216405
2026-06-28T15:43:03.786,0.48531307128216405
2026-06-28T15:43:03.787,0.48531307128216405
2026-06-28T15:43:03.788,0.4849807157047795
2026-06-28T15:43:03.789,0.4849807157047795
2026-06-28T15:43:03.790,0.4849807157047795
2026-06-28T15:43:03.791,0.4849807157047795
2026-06-28T15:43:03.792,0.4849807157047795
2026-06-28T15:43:03.793,0.4849807157047795
2026-06-28T15:43:03.794,0.4849807157047795
2026-06-28T15:43:03.795,0.4849807157047795
2026-06-28T15:43:03.796,0.4845783457086685
2026-06-28T15:43:03.797,0.4845783457086685
2026-06-28T15:43:03.798,0.4845783457086685
2026-06-28T15:43:03.799,0.4845783457086685
2026-06-28T15:43:03.800,0.4845783457086685
2026-06-28T15:43:03.801,0.4845783457086685
2026-06-28T15:43:03.802,0.4845783457086685
2026-06-28T15:43:03.803,0.4845783457086685
2026-06-28T15:43:03.804,0.4841563178750647
2026-06-28T15:43:03.805,0.4841563178750647
2026-06-28T15:43:03.806,0.4841563178750647
2026-06-28T15:43:03.807,0.4841563178750647
2026-06-28T15:43:03.808,0.4841563178750647
2026-06-28T15:43:03.809,0.4841563178750647
2026-06-28T15:43:03.810,0.4841563178750647
2026-06-28T15:43:03.811,0.4841563178750647
2026-06-28T15:43:03.812,0.4836819835585745
2026-06-28T15:43:03.813,0.4836819835585745
2026-06-28T15:43:03.814,0.4836819835585745
2026-06-28T15:43:03.815,0.4836819835585745
2026-06-28T15:43:03.816,0.4836819835585745
2026-06-28T15:43:03.817,0.4836819835585745
2026-06-28T15:43:03.818,0.4836819835585745
2026-06-28T15:43:03.819,0.4836819835585745
2026-06-28T15:43:03.820,0.48320677606708884
2026-06-28T15:43:03.821,0.48320677606708884
2026-06-28T15:43:03.822,0.48320677606708884
2026-06-28T15:43:03.823,0.48320677606708884
2026-06-28T15:43:03.824,0.48320677606708884
2026-06-28T15:43:03.825,0.48320677606708884
2026-06-28T15:43:03.826,0.48320677606708884
2026-06-28T15:43:03.827,0.48320677606708884
2026-06-28T15:43:03.828,0.4827145762826206
2026-06-28T15:43:03.829,0.4827145762826206
2026-06-28T15:43:03.830,0.4827145762826206
2026-06-28T15:43:03.831,0.4827145762826206
2026-06-28T15:43:03.832,0.4827145762826206
2026-06-28T15:43:03.833,0.4827145762826206
2026-06-28T15:43:03.834,0.4827145762826206
2026-06-28T15:43:03.835,0.4827145762826206
2026-06-28T15:43:03.836,0.4821467314789194
2026-06-28T15:43:03.837,0.4821467314789194
2026-06-28T15:43:03.838,0.4821467314789194
2026-06-28T15:43:03.839,0.4821467314789194
2026-06-28T15:43:03.840,0.4821467314789194
2026-06-28T15:43:03.841,0.4821467314789194
2026-06-28T15:43:03.842,0.4821467314789194
2026-06-28T15:43:03.843,0.4821467314789194
2026-06-28T15:43:03.844,0.4815667735205586
2026-06-28T15:43:03.845,0.4815667735205586
2026-06-28T15:43:03.846,0.4815667735205586
2026-06-28T15:43:03.847,0.4815667735205586
2026-06-28T15:43:03.848,0.4815667735205586
2026-06-28T15:43:03.849,0.4815667735205586
2026-06-28T15:43:03.850,0.4815667735205586
2026-06-28T15:43:03.851,0.4815667735205586
2026-06-28T15:43:03.852,0.48088618428434515
2026-06-28T15:43:03.853,0.48088618428434515
2026-06-28T15:43:03.854,0.48088618428434515
2026-06-28T15:43:03.855,0.48088618428434515
2026-06-28T15:43:03.856,0.48088618428434515
2026-06-28T15:43:03.857,0.48088618428434515
2026-06-28T15:43:03.858,0.48088618428434515
2026-06-28T15:43:03.859,0.48088618428434515
2026-06-28T15:43:03.860,0.4802150914657538
2026-06-28T15:43:03.861,0.4802150914657538
2026-06-28T15:43:03.862,0.4802150914657538
2026-06-28T15:43:03.863,0.4802150914657538
2026-06-28T15:43:03.864,0.4802150914657538
2026-06-28T15:43:03.865,0.4802150914657538
2026-06-28T15:43:03.866,0.4802150914657538
2026-06-28T15:43:03.867,0.4802150914657538
2026-06-28T15:43:03.868,0.4795369641882545
2026-06-28T15:43:03.869,0.4795369641882545
2026-06-28T15:43:03.870,0.4795369641882545
2026-06-28T15:43:03.871,0.4795369641882545
2026-06-28T15:43:03.872,0.4795369641882545
2026-06-28T15:43:03.873,0.4795369641882545
2026-06-28T15:43:03.874,0.4795369641882545
2026-06-28T15:43:03.875,0.4795369641882545
2026-06-28T15:43:03.876,0.4787989120662266
2026-06-28T15:43:03.877,0.4787989120662266
2026-06-28T15:43:03.878,0.4787989120662266
2026-06-28T15:43:03.879,0.4787989120662266
2026-06-28T15:43:03.880,0.4787989120662266
2026-06-28T15:43:03.881,0.4787989120662266
2026-06-28T15:43:03.882,0.4787989120662266
2026-06-28T15:43:03.883,0.4787989120662266
2026-06-28T15:43:03.884,0.478022509163938
2026-06-28T15:43:03.885,0.478022509163938
2026-06-28T15:43:03.886,0.478022509163938
2026-06-28T15:43:03.887,0.478022509163938
2026-06-28T15:43:03.888,0.478022509163938
2026-06-28T15:43:03.889,0.478022509163938
2026-06-28T15:43:03.890,0.478022509163938
2026-06-28T15:43:03.891,0.478022509163938
2026-06-28T15:43:03.892,0.47723432331446786
2026-06-28T15:43:03.893,0.47723432331446786
2026-06-28T15:43:03.894,0.47723432331446786
2026-06-28T15:43:03.895,0.47723432331446786
2026-06-28T15:43:03.896,0.47723432331446786
2026-06-28T15:43:03.897,0.47723432331446786
2026-06-28T15:43:03.898,0.47723432331446786
2026-06-28T15:43:03.899,0.47723432331446786
2026-06-28T15:43:03.900,0.4764179803282503
2026-06-28T15:43:03.901,0.4764179803282503
2026-06-28T15:43:03.902,0.4764179803282503
2026-06-28T15:43:03.903,0.4764179803282503
2026-06-28T15:43:03.904,0.4764179803282503
2026-06-28T15:43:03.905,0.4764179803282503
2026-06-28T15:43:03.906,0.4764179803282503
2026-06-28T15:43:03.907,0.4764179803282503
2026-06-28T15:43:03.908,0.4755485029113676
2026-06-28T15:43:03.909,0.4755485029113676
2026-06-28T15:43:03.910,0.4755485029113676
2026-06-28T15:43:03.911,0.4755485029113676
2026-06-28T15:43:03.912,0.4755485029113676
2026-06-28T15:43:03.913,0.4755485029113676
2026-06-28T15:43:03.914,0.4755485029113676
2026-06-28T15:43:03.915,0.4755485029113676
2026-06-28T15:43:03.916,0.4747416665398477
2026-06-28T15:43:03.917,0.4747416665398477
2026-06-28T15:43:03.918,0.4747416665398477
2026-06-28T15:43:03.919,0.4747416665398477
2026-06-28T15:43:03.920,0.4747416665398477
