frame_index,reference_timestamp,elapsed_s,tcp_z_m,sensor_z_m,real_valid_zones,sim_valid_zones,paired_valid_zones,mae_mm,bias_mm,no_return_iou
0,2026-06-28T15:41:44.273,0.0,0.18828359760845356,0.0982266358058603,60,64,60,14.583333333333334,0.95,0.0
1,2026-06-28T15:41:44.367,0.093994140625,0.1936923867182756,0.10363542491568234,61,64,61,15.262295081967213,-0.18032786885245902,0.0
2,2026-06-28T15:41:44.466,0.19300079345703125,0.20514108331116687,0.11508412150857361,63,64,63,19.603174603174605,-6.650793650793651,0.0
3,2026-06-28T15:41:44.558,0.28499603271484375,0.2128155618885918,0.12275860008599854,64,64,64,22.71875,-11.5625,1.0
4,2026-06-28T15:41:44.651,0.37799835205078125,0.2168430276810665,0.12678606587847324,64,64,64,22.71875,-12.0,1.0
5,2026-06-28T15:41:44.746,0.47299957275390625,0.21705178433052888,0.12699482252793562,63,63,62,16.35483870967742,-12.806451612903226,0.0
6,2026-06-28T15:41:44.859,0.58599853515625,0.2170331156159514,0.12697615381335814,64,64,64,23.3125,-12.78125,1.0
7,2026-06-28T15:41:44.958,0.68499755859375,0.21707571389323227,0.127018752090639,63,64,63,22.238095238095237,-11.634920634920634,0.0
8,2026-06-28T15:41:45.053,0.779998779296875,0.2170624886788156,0.12700552687622235,64,62,62,16.35483870967742,-12.580645161290322,0.0
9,2026-06-28T15:41:45.147,0.8740005493164062,0.21706057243961047,0.1270036106370172,64,63,63,16.396825396825395,-13.476190476190476,0.0
10,2026-06-28T15:41:45.244,0.9710006713867188,0.21707897584788577,0.1270220140452925,64,63,63,23.285714285714285,-12.65079365079365,0.0
11,2026-06-28T15:41:45.340,1.0669937133789062,0.21703760276798728,0.12698064096539402,64,63,63,23.841269841269842,-12.984126984126984,0.0
12,2026-06-28T15:41:45.437,1.1639938354492188,0.21703951900687987,0.1269825572042866,64,64,64,23.765625,-13.390625,1.0
13,2026-06-28T15:41:45.536,1.26300048828125,0.21704917409766783,0.12699221229507457,64,63,63,23.349206349206348,-11.793650793650794,0.0
14,2026-06-28T15:41:45.657,1.3839950561523438,0.2170552632256424,0.12699830142304913,64,64,64,23.46875,-13.40625,1.0
15,2026-06-28T15:41:45.731,1.4580001831054688,0.21704804341610628,0.12699108161351302,64,63,63,16.41269841269841,-13.333333333333334,0.0
16,2026-06-28T15:41:45.832,1.5589981079101562,0.2170682704693691,0.12701130866677585,63,62,62,21.951612903225808,-11.725806451612904,0.5
17,2026-06-28T15:41:45.940,1.6669998168945312,0.21705065278395563,0.12699369098136237,64,64,64,23.046875,-14.046875,1.0
18,2026-06-28T15:41:46.035,1.7620010375976562,0.21706479074025897,0.1270078289376657,64,61,61,16.704918032786885,-14.672131147540984,0.0
19,2026-06-28T15:41:46.131,1.8579940795898438,0.21706461903577462,0.12700765723318136,64,63,63,23.095238095238095,-12.301587301587302,0.0
20,2026-06-28T15:41:46.228,1.9549942016601562,0.21706549175201253,0.12700852994941927,63,63,63,22.253968253968253,-11.492063492063492,1.0
21,2026-06-28T15:41:46.323,2.0499954223632812,0.22011577119600195,0.1300588093934087,64,62,62,17.596774193548388,-15.53225806451613,0.0
22,2026-06-28T15:41:46.421,2.1479949951171875,0.2277141006993777,0.13765713889678444,37,63,36,20.36111111111111,-3.138888888888889,0.0
23,2026-06-28T15:41:46.518,2.2449951171875,0.2384995254583285,0.14844256365573524,17,64,17,17.941176470588236,-8.176470588235293,0.0
24,2026-06-28T15:41:46.616,2.3429946899414062,0.24554148177343396,0.1554845199708407,18,61,18,21.666666666666668,-19.444444444444443,0.06521739130434782
25,2026-06-28T15:41:46.714,2.4409942626953125,0.2470614389477377,0.15700447714514443,19,61,19,21.526315789473685,-19.0,0.06666666666666667
26,2026-06-28T15:41:46.852,2.5789947509765625,0.2470253342602789,0.15696837245768563,18,63,18,22.833333333333332,-20.5,0.021739130434782608
27,2026-06-28T15:41:46.946,2.6729965209960938,0.24700984518340627,0.156952883380813,18,63,18,21.5,-20.166666666666668,0.021739130434782608
28,2026-06-28T15:41:47.039,2.7659988403320312,0.24702959228009685,0.1569726304775036,18,61,18,22.88888888888889,-20.333333333333332,0.06521739130434782
29,2026-06-28T15:41:47.138,2.8649978637695312,0.2470395955806509,0.15698263377805763,19,62,19,20.736842105263158,-20.42105263157895,0.044444444444444446
