,z
2026-06-28T15:39:21.030,0.18704588358373586
2026-06-28T15:39:21.031,0.18704588358373586
2026-06-28T15:39:21.032,0.18704588358373586
2026-06-28T15:39:21.033,0.18704588358373586
2026-06-28T15:39:21.034,0.18704588358373586
2026-06-28T15:39:21.035,0.18704588358373586
2026-06-28T15:39:21.036,0.18704588358373586
2026-06-28T15:39:21.037,0.18704588358373586
2026-06-28T15:39:21.038,0.1870853694516757
2026-06-28T15:39:21.039,0.1870853694516757
2026-06-28T15:39:21.040,0.1870853694516757
2026-06-28T15:39:21.041,0.1870853694516757
2026-06-28T15:39:21.042,0.1870853694516757
2026-06-28T15:39:21.043,0.1870853694516757
2026-06-28T15:39:21.044,0.1870853694516757
2026-06-28T15:39:21.045,0.18707492726607675
2026-06-28T15:39:21.046,0.18707492726607675
2026-06-28T15:39:21.047,0.18707492726607675
2026-06-28T15:39:21.048,0.18707492726607675
2026-06-28T15:39:21.049,0.18707492726607675
2026-06-28T15:39:21.050,0.18707492726607675
2026-06-28T15:39:21.051,0.18707492726607675
2026-06-28T15:39:21.052,0.18707492726607675
2026-06-28T15:39:21.053,0.18707492726607675
2026-06-28T15:39:21.054,0.18707492726607675
2026-06-28T15:39:21.055,0.18715183156941106
2026-06-28T15:39:21.056,0.18715183156941106
2026-06-28T15:39:21.057,0.18715183156941106
2026-06-28T15:39:21.058,0.18715183156941106
2026-06-28T15:39:21.059,0.18715183156941106
2026-06-28T15:39:21.060,0.18715183156941106
2026-06-28T15:39:21.061,0.18715183156941106
2026-06-28T15:39:21.062,0.1872422553584644
2026-06-28T15:39:21.063,0.1872422553584644
2026-06-28T15:39:21.064,0.1872422553584644
2026-06-28T15:39:21.065,0.1872422553584644
2026-06-28T15:39:21.066,0.1872422553584644
2026-06-28T15:39:21.067,0.1872422553584644
2026-06-28T15:39:21.068,0.1872422553584644
2026-06-28T15:39:21.069,0.1872422553584644
2026-06-28T15:39:21.070,0.18735480874537758
2026-06-28T15:39:21.071,0.18735480874537758
2026-06-28T15:39:21.072,0.18735480874537758
2026-06-28T15:39:21.073,0.18735480874537758
2026-06-28T15:39:21.074,0.18735480874537758
